Subject,Predicate,Object,SubjectLabels,ObjectLabels,Fuzzy
目标#30,Specifies,需求#30,Goal,Requirement,1.0
我希望无人机能够在风暴中飞行，并搭载风速测量仪器,Defines,目标#31,User_Story,Goal,1.0
用户#31,Proposes,需求#31,User,Requirement,1.0
目标#31,Specifies,需求#31,Goal,Requirement,1.0
我需要无人机能够在海面上飞行，并具备船舶识别和监测功能,Defines,目标#32,User_Story,Goal,1.0
用户#32,Proposes,需求#32,User,Requirement,1.0
目标#32,Specifies,需求#32,Goal,Requirement,1.0
我希望无人机能够在地震灾区飞行，并具备地震监测传感器,Defines,目标#33,User_Story,Goal,1.0
用户#33,Proposes,需求#33,User,Requirement,1.0
目标#33,Specifies,需求#33,Goal,Requirement,1.0
我需要无人机能够飞越茂密的森林，并具备火点探测功能,Defines,目标#34,User_Story,Goal,1.0
用户#34,Proposes,需求#34,User,Requirement,1.0
目标#34,Specifies,需求#34,Goal,Requirement,1.0
我希望无人机能够在城市中飞行，并具备高清摄像功能,Defines,目标#35,User_Story,Goal,1.0
用户#35,Proposes,需求#35,User,Requirement,1.0
目标#35,Specifies,需求#35,Goal,Requirement,1.0
我需要无人机能够在海面上飞行，并搭载鱼群探测仪器,Defines,目标#36,User_Story,Goal,1.0
用户#36,Proposes,需求#36,User,Requirement,1.0
目标#36,Specifies,需求#36,Goal,Requirement,1.0
我希望无人机能够在污染区域飞行，并具备空气采样和污染源定位功能,Defines,目标#37,User_Story,Goal,1.0
用户#37,Proposes,需求#37,User,Requirement,1.0
目标#37,Specifies,需求#37,Goal,Requirement,1.0
我需要无人机能够在野生动物栖息地飞行，并搭载红外热成像仪,Defines,目标#38,User_Story,Goal,1.0
用户#38,Proposes,需求#38,User,Requirement,1.0
目标#38,Specifies,需求#38,Goal,Requirement,1.0
我希望无人机能够进行农田植被测量，并搭载多光谱传感器,Defines,目标#39,User_Story,Goal,1.0
用户#39,Proposes,需求#39,User,Requirement,1.0
目标#39,Specifies,需求#39,Goal,Requirement,1.0
我需要无人机能够在水域上飞行，并具备水质监测仪器,Defines,目标#40,User_Story,Goal,1.0
用户#40,Proposes,需求#40,User,Requirement,1.0
目标#40,Specifies,需求#40,Goal,Requirement,1.0
我希望无人机能够自动进行巡检，并通过高清摄像功能帮助检测飞机表面的损伤和结构问题。,Defines,目标#41,User_Story,Goal,1.0
用户#41,Proposes,需求#41,User,Requirement,1.0
目标#41,Specifies,需求#41,Goal,Requirement,1.0
我需要无人机能够在复杂的自然环境中飞行，并具备多光谱成像功能,Defines,目标#42,User_Story,Goal,1.0
用户#42,Proposes,需求#42,User,Requirement,1.0
目标#42,Specifies,需求#42,Goal,Requirement,1.0
我希望无人机能够在海上飞行，并搭载渔群探测仪器,Defines,目标#43,User_Story,Goal,1.0
用户#43,Proposes,需求#43,User,Requirement,1.0
目标#43,Specifies,需求#43,Goal,Requirement,1.0
我需要无人机能够在洪水区域飞行，并具备红外热成像功能,Defines,目标#44,User_Story,Goal,1.0
用户#44,Proposes,需求#44,User,Requirement,1.0
目标#44,Specifies,需求#44,Goal,Requirement,1.0
我希望无人机能够在复杂地形中飞行，并搭载地质雷达,Defines,目标#45,User_Story,Goal,1.0
用户#45,Proposes,需求#45,User,Requirement,1.0
目标#45,Specifies,需求#45,Goal,Requirement,1.0
我需要无人机能够在城市道路上飞行，并具备交通流量监测功能,Defines,目标#46,User_Story,Goal,1.0
用户#46,Proposes,需求#46,User,Requirement,1.0
目标#46,Specifies,需求#46,Goal,Requirement,1.0
我希望无人机能够在森林中飞行，并具备火点探测功能和高压水枪,Defines,目标#47,User_Story,Goal,1.0
用户#47,Proposes,需求#47,User,Requirement,1.0
目标#47,Specifies,需求#47,Goal,Requirement,1.0
我需要无人机能够进行建筑物测量，并搭载激光测距仪,Defines,目标#48,User_Story,Goal,1.0
用户#48,Proposes,需求#48,User,Requirement,1.0
目标#48,Specifies,需求#48,Goal,Requirement,1.0
我希望无人机能够在灾害区域飞行，并具备地质雷达和热成像摄像功能,Defines,目标#49,User_Story,Goal,1.0
用户#49,Proposes,需求#49,User,Requirement,1.0
目标#49,Specifies,需求#49,Goal,Requirement,1.0
我需要无人机能够在海上飞行，并搭载水下摄像功能,Defines,目标#50,User_Story,Goal,1.0
用户#50,Proposes,需求#50,User,Requirement,1.0
目标#50,Specifies,需求#50,Goal,Requirement,1.0
我希望无人机能够进行空中摄影测量，并搭载高分辨率摄像功能,Defines,目标#51,User_Story,Goal,1.0
用户#51,Proposes,需求#51,User,Requirement,1.0
目标#51,Specifies,需求#51,Goal,Requirement,1.0
我需要无人机能够在污染源周围飞行，并搭载气体传感器,Defines,目标#52,User_Story,Goal,1.0
用户#52,Proposes,需求#52,User,Requirement,1.0
目标#52,Specifies,需求#52,Goal,Requirement,1.0
我希望无人机能够进行地形测量，并搭载全球定位系统,Defines,目标#53,User_Story,Goal,1.0
用户#53,Proposes,需求#53,User,Requirement,1.0
目标#53,Specifies,需求#53,Goal,Requirement,1.0
我需要无人机能够低空飞行，并具备高分辨率摄像功能,Defines,目标#54,User_Story,Goal,1.0
用户#54,Proposes,需求#54,User,Requirement,1.0
目标#54,Specifies,需求#54,Goal,Requirement,1.0
我希望无人机能够在海面上飞行，并搭载气象传感器,Defines,目标#55,User_Story,Goal,1.0
用户#55,Proposes,需求#55,User,Requirement,1.0
目标#55,Specifies,需求#55,Goal,Requirement,1.0
我需要无人机能够在港口区域飞行，并具备高清摄像功能,Defines,目标#56,User_Story,Goal,1.0
用户#56,Proposes,需求#56,User,Requirement,1.0
目标#56,Specifies,需求#56,Goal,Requirement,1.0
我希望无人机能够飞越高压输电线路，并搭载红外热成像仪,Defines,目标#57,User_Story,Goal,1.0
用户#57,Proposes,需求#57,User,Requirement,1.0
目标#57,Specifies,需求#57,Goal,Requirement,1.0
我需要无人机能够在野生动物栖息地飞行，并具备红外热成像功能,Defines,目标#58,User_Story,Goal,1.0
用户#58,Proposes,需求#58,User,Requirement,1.0
目标#58,Specifies,需求#58,Goal,Requirement,1.0
我希望无人机能够进行空中测绘，并搭载高分辨率摄像功能,Defines,目标#59,User_Story,Goal,1.0
用户#59,Proposes,需求#59,User,Requirement,1.0
目标#59,Specifies,需求#59,Goal,Requirement,1.0
我需要无人机能够在灾区飞行，并具备红外热成像功能,Defines,目标#60,User_Story,Goal,1.0
用户#60,Proposes,需求#60,User,Requirement,1.0
目标#60,Specifies,需求#60,Goal,Requirement,1.0
我希望无人机能够在复杂的环境中飞行，并具备空气采样功能,Defines,目标#61,User_Story,Goal,1.0
用户#61,Proposes,需求#61,User,Requirement,1.0
目标#61,Specifies,需求#61,Goal,Requirement,1.0
我需要无人机能够在道路上空飞行，并具备交通监测功能,Defines,目标#62,User_Story,Goal,1.0
用户#62,Proposes,需求#62,User,Requirement,1.0
目标#62,Specifies,需求#62,Goal,Requirement,1.0
我希望无人机能够在海上飞行，并搭载水下摄像功能,Defines,目标#63,User_Story,Goal,1.0
用户#63,Proposes,需求#63,User,Requirement,1.0
目标#63,Specifies,需求#63,Goal,Requirement,1.0
我需要无人机能够在城市区域飞行，并具备高清摄像功能,Defines,目标#64,User_Story,Goal,1.0
用户#64,Proposes,需求#64,User,Requirement,1.0
目标#64,Specifies,需求#64,Goal,Requirement,1.0
我希望无人机能够进行植物生长监测，并搭载多光谱传感器,Defines,目标#65,User_Story,Goal,1.0
用户#65,Proposes,需求#65,User,Requirement,1.0
目标#65,Specifies,需求#65,Goal,Requirement,1.0
我需要无人机能够在高压输电线路上飞行，并具备红外热成像功能,Defines,目标#66,User_Story,Goal,1.0
用户#66,Proposes,需求#66,User,Requirement,1.0
目标#66,Specifies,需求#66,Goal,Requirement,1.0
我希望无人机能够在海面上飞行，并搭载气象传感器,Defines,目标#67,User_Story,Goal,1.0
用户#67,Proposes,需求#67,User,Requirement,1.0
目标#67,Specifies,需求#67,Goal,Requirement,1.0
我需要无人机能够在港口区域飞行，并具备船舶识别功能,Defines,目标#68,User_Story,Goal,1.0
用户#68,Proposes,需求#68,User,Requirement,1.0
目标#68,Specifies,需求#68,Goal,Requirement,1.0
我希望无人机能够在污染源周围飞行，并搭载空气采样器,Defines,目标#69,User_Story,Goal,1.0
用户#69,Proposes,需求#69,User,Requirement,1.0
目标#69,Specifies,需求#69,Goal,Requirement,1.0
我需要无人机能够在水域上飞行，并具备水质监测仪器,Defines,目标#70,User_Story,Goal,1.0
用户#70,Proposes,需求#70,User,Requirement,1.0
目标#70,Specifies,需求#70,Goal,Requirement,1.0
我希望无人机能够进行高空摄影，并具备稳定飞行和高分辨率摄像功能,Defines,目标#71,User_Story,Goal,1.0
用户#71,Proposes,需求#71,User,Requirement,1.0
目标#71,Specifies,需求#71,Goal,Requirement,1.0
我需要无人机能够在野生动物栖息地飞行，并搭载红外热成像功能,Defines,目标#72,User_Story,Goal,1.0
用户#72,Proposes,需求#72,User,Requirement,1.0
目标#72,Specifies,需求#72,Goal,Requirement,1.0
我希望无人机能够进行建筑物测量，并搭载激光扫描仪,Defines,目标#73,User_Story,Goal,1.0
用户#73,Proposes,需求#73,User,Requirement,1.0
目标#73,Specifies,需求#73,Goal,Requirement,1.0
我需要无人机具备较大的载荷能力,Defines,目标#74,User_Story,Goal,1.0
用户#74,Proposes,需求#74,User,Requirement,1.0
目标#74,Specifies,需求#74,Goal,Requirement,1.0
我希望无人机能够搭载喷洒设备，具备足够的载荷能力,Defines,目标#75,User_Story,Goal,1.0
用户#75,Proposes,需求#75,User,Requirement,1.0
目标#75,Specifies,需求#75,Goal,Requirement,1.0
我需要无人机具备足够的载荷能力,Defines,目标#76,User_Story,Goal,1.0
用户#76,Proposes,需求#76,User,Requirement,1.0
目标#76,Specifies,需求#76,Goal,Requirement,1.0
我希望无人机能够搭载救生设备和物资，具备较大的载荷能力,Defines,目标#77,User_Story,Goal,1.0
用户#77,Proposes,需求#77,User,Requirement,1.0
目标#77,Specifies,需求#77,Goal,Requirement,1.0
我需要无人机能够搭载建筑材料和工具，具备足够的载荷能力,Defines,目标#78,User_Story,Goal,1.0
用户#78,Proposes,需求#78,User,Requirement,1.0
目标#78,Specifies,需求#78,Goal,Requirement,1.0
我希望无人机能够搭载专业摄影设备，具备足够的载荷能力,Defines,目标#79,User_Story,Goal,1.0
用户#79,Proposes,需求#79,User,Requirement,1.0
目标#79,Specifies,需求#79,Goal,Requirement,1.0
我需要无人机能够搭载地质勘探设备，具备足够的载荷能力,Defines,目标#80,User_Story,Goal,1.0
用户#80,Proposes,需求#80,User,Requirement,1.0
目标#80,Specifies,需求#80,Goal,Requirement,1.0
我希望无人机能够搭载海洋观测设备和探测器，具备较大的载荷能力,Defines,目标#81,User_Story,Goal,1.0
用户#81,Proposes,需求#81,User,Requirement,1.0
目标#81,Specifies,需求#81,Goal,Requirement,1.0
我需要无人机能够搭载电力设备和工具，具备足够的载荷能力,Defines,目标#82,User_Story,Goal,1.0
用户#82,Proposes,需求#82,User,Requirement,1.0
目标#82,Specifies,需求#82,Goal,Requirement,1.0
我希望无人机能够搭载环境监测设备，具备足够的载荷能力,Defines,目标#83,User_Story,Goal,1.0
用户#83,Proposes,需求#83,User,Requirement,1.0
目标#83,Specifies,需求#83,Goal,Requirement,1.0
我需要无人机具备较大的载荷能力,Defines,目标#84,User_Story,Goal,1.0
用户#84,Proposes,需求#84,User,Requirement,1.0
目标#84,Specifies,需求#84,Goal,Requirement,1.0
我希望无人机能够搭载灭火设备和救生器材，具备足够的载荷能力,Defines,目标#85,User_Story,Goal,1.0
用户#85,Proposes,需求#85,User,Requirement,1.0
目标#85,Specifies,需求#85,Goal,Requirement,1.0
我需要无人机能够搭载农业传感器和采样设备，具备较大的载荷能力,Defines,目标#86,User_Story,Goal,1.0
用户#86,Proposes,需求#86,User,Requirement,1.0
目标#86,Specifies,需求#86,Goal,Requirement,1.0
我希望无人机能够搭载采矿设备和工具，具备足够的载荷能力,Defines,目标#87,User_Story,Goal,1.0
用户#87,Proposes,需求#87,User,Requirement,1.0
目标#87,Specifies,需求#87,Goal,Requirement,1.0
我需要无人机具备较大的载荷能力,Defines,目标#88,User_Story,Goal,1.0
用户#88,Proposes,需求#88,User,Requirement,1.0
目标#88,Specifies,需求#88,Goal,Requirement,1.0
我希望无人机能够搭载灌溉设备和传感器，具备足够的载荷能力,Defines,目标#89,User_Story,Goal,1.0
用户#89,Proposes,需求#89,User,Requirement,1.0
目标#89,Specifies,需求#89,Goal,Requirement,1.0
我需要无人机能够搭载地震勘测设备和传感器，具备足够的载荷能力,Defines,目标#90,User_Story,Goal,1.0
用户#90,Proposes,需求#90,User,Requirement,1.0
目标#90,Specifies,需求#90,Goal,Requirement,1.0
我希望无人机能够搭载海洋生物采样设备和海洋底质采集器，具备较大的载荷能力,Defines,目标#91,User_Story,Goal,1.0
用户#91,Proposes,需求#91,User,Requirement,1.0
目标#91,Specifies,需求#91,Goal,Requirement,1.0
我需要无人机具备较大的载荷能力,Defines,目标#92,User_Story,Goal,1.0
用户#92,Proposes,需求#92,User,Requirement,1.0
目标#92,Specifies,需求#92,Goal,Requirement,1.0
我希望无人机能够搭载建筑结构模拟器和测量设备，具备足够的载荷能力,Defines,目标#93,User_Story,Goal,1.0
用户#93,Proposes,需求#93,User,Requirement,1.0
目标#93,Specifies,需求#93,Goal,Requirement,1.0
我需要无人机能够搭载红外热成像仪和电力检测设备，具备较大的载荷能力,Defines,目标#94,User_Story,Goal,1.0
用户#94,Proposes,需求#94,User,Requirement,1.0
目标#94,Specifies,需求#94,Goal,Requirement,1.0
我希望无人机能够搭载空气质量监测仪器和噪音检测设备，具备足够的载荷能力,Defines,目标#95,User_Story,Goal,1.0
用户#95,Proposes,需求#95,User,Requirement,1.0
目标#95,Specifies,需求#95,Goal,Requirement,1.0
我需要无人机能够搭载海洋观测设备和海底探测器，具备较大的载荷能力,Defines,目标#96,User_Story,Goal,1.0
用户#96,Proposes,需求#96,User,Requirement,1.0
目标#96,Specifies,需求#96,Goal,Requirement,1.0
我希望无人机具备自主导航能力,Defines,目标#97,User_Story,Goal,1.0
用户#97,Proposes,需求#97,User,Requirement,1.0
目标#97,Specifies,需求#97,Goal,Requirement,1.0
我需要无人机能够自主导航并按照预定路径完成航拍任务,Defines,目标#98,User_Story,Goal,1.0
用户#98,Proposes,需求#98,User,Requirement,1.0
目标#98,Specifies,需求#98,Goal,Requirement,1.0
我希望无人机能够根据预设的导航点自主飞行,Defines,目标#99,User_Story,Goal,1.0
用户#99,Proposes,需求#99,User,Requirement,1.0
目标#99,Specifies,需求#99,Goal,Requirement,1.0
我需要无人机能够根据预设的巡检路线自主飞行，并完成对电力设备的检查和记录。,Defines,目标#100,User_Story,Goal,1.0
用户#100,Proposes,需求#100,User,Requirement,1.0
目标#100,Specifies,需求#100,Goal,Requirement,1.0
我希望无人机能够自主导航，并按照预设的巡逻范围进行森林监测和火灾预警。,Defines,目标#101,User_Story,Goal,1.0
用户#101,Proposes,需求#101,User,Requirement,1.0
目标#101,Specifies,需求#101,Goal,Requirement,1.0
我需要无人机能够自主导航并按照预设的路径巡航,Defines,目标#102,User_Story,Goal,1.0
用户#102,Proposes,需求#102,User,Requirement,1.0
目标#102,Specifies,需求#102,Goal,Requirement,1.0
我希望无人机能够根据预设的农田边界自主飞行，并进行农作物的生长监测和管理。,Defines,目标#103,User_Story,Goal,1.0
用户#103,Proposes,需求#103,User,Requirement,1.0
目标#103,Specifies,需求#103,Goal,Requirement,1.0
我需要无人机能够根据预设的勘探路径自主导航,Defines,目标#104,User_Story,Goal,1.0
用户#104,Proposes,需求#104,User,Requirement,1.0
目标#104,Specifies,需求#104,Goal,Requirement,1.0
我希望无人机能够自主导航并按照预设的路径进行火场侦查和救援工作。,Defines,目标#105,User_Story,Goal,1.0
用户#105,Proposes,需求#105,User,Requirement,1.0
目标#105,Specifies,需求#105,Goal,Requirement,1.0
我需要无人机能够自主导航并按照预设的巡检路线飞行,Defines,目标#106,User_Story,Goal,1.0
用户#106,Proposes,需求#106,User,Requirement,1.0
目标#106,Specifies,需求#106,Goal,Requirement,1.0
我希望无人机能够自主导航并根据预设的区域进行环境监测和采样工作。,Defines,目标#107,User_Story,Goal,1.0
用户#107,Proposes,需求#107,User,Requirement,1.0
目标#107,Specifies,需求#107,Goal,Requirement,1.0
我需要无人机能够自主导航并按照预设的路径进行地震监测和数据采集。,Defines,目标#108,User_Story,Goal,1.0
用户#108,Proposes,需求#108,User,Requirement,1.0
目标#108,Specifies,需求#108,Goal,Requirement,1.0
我希望无人机能够自主导航并按照预设的航线进行海洋观测和数据收集。,Defines,目标#109,User_Story,Goal,1.0
用户#109,Proposes,需求#109,User,Requirement,1.0
目标#109,Specifies,需求#109,Goal,Requirement,1.0
我需要无人机能够自主导航并根据预设的规划范围进行空中测绘和规划分析。,Defines,目标#110,User_Story,Goal,1.0
用户#110,Proposes,需求#110,User,Requirement,1.0
目标#110,Specifies,需求#110,Goal,Requirement,1.0
我希望无人机能够自主导航并按照预设的路径巡检输电线路和设备,Defines,目标#111,User_Story,Goal,1.0
用户#111,Proposes,需求#111,User,Requirement,1.0
目标#111,Specifies,需求#111,Goal,Requirement,1.0
我需要无人机能够自主导航并根据预设的区域进行海洋生物的观测和研究工作。,Defines,目标#112,User_Story,Goal,1.0
用户#112,Proposes,需求#112,User,Requirement,1.0
目标#112,Specifies,需求#112,Goal,Requirement,1.0
我希望无人机能够自主导航并根据预设的巡逻路径进行城市安全监控和犯罪预防。,Defines,目标#113,User_Story,Goal,1.0
用户#113,Proposes,需求#113,User,Requirement,1.0
目标#113,Specifies,需求#113,Goal,Requirement,1.0
我需要无人机能够根据预设的农田边界和灌溉需求自主飞行,Defines,目标#114,User_Story,Goal,1.0
用户#114,Proposes,需求#114,User,Requirement,1.0
目标#114,Specifies,需求#114,Goal,Requirement,1.0
我希望无人机能够自主导航并根据事故区域进行搜索和救援任务,Defines,目标#115,User_Story,Goal,1.0
用户#115,Proposes,需求#115,User,Requirement,1.0
目标#115,Specifies,需求#115,Goal,Requirement,1.0
我需要无人机能够自主导航并根据预设的路况信息进行交通监测和拥堵疏导工作。,Defines,目标#116,User_Story,Goal,1.0
用户#116,Proposes,需求#116,User,Requirement,1.0
目标#116,Specifies,需求#116,Goal,Requirement,1.0
我希望无人机能够自主导航并按照预设的巡检路线飞行,Defines,目标#117,User_Story,Goal,1.0
用户#117,Proposes,需求#117,User,Requirement,1.0
目标#117,Specifies,需求#117,Goal,Requirement,1.0
我需要无人机能够自主导航并根据预设的区域进行空气质量和污染物监测,Defines,目标#118,User_Story,Goal,1.0
用户#118,Proposes,需求#118,User,Requirement,1.0
目标#118,Specifies,需求#118,Goal,Requirement,1.0
我希望无人机能够自主导航并根据预设的路径进行航拍和摄影,Defines,目标#119,User_Story,Goal,1.0
用户#119,Proposes,需求#119,User,Requirement,1.0
目标#119,Specifies,需求#119,Goal,Requirement,1.0
我需要无人机能够自主导航并根据预设的区域进行水质监测和水资源调查,Defines,目标#120,User_Story,Goal,1.0
用户#120,Proposes,需求#120,User,Requirement,1.0
目标#120,Specifies,需求#120,Goal,Requirement,1.0
我希望无人机能够自主导航并根据预设的航线进行海上巡逻和海事监管工作。,Defines,目标#121,User_Story,Goal,1.0
用户#121,Proposes,需求#121,User,Requirement,1.0
目标#121,Specifies,需求#121,Goal,Requirement,1.0
我需要无人机能够自主导航并根据预设的区域进行野生动植物保护和栖息地监测工作。,Defines,目标#122,User_Story,Goal,1.0
用户#122,Proposes,需求#122,User,Requirement,1.0
目标#122,Specifies,需求#122,Goal,Requirement,1.0
我希望无人机能够自主导航并根据预设的农田边界进行作物生长监测和病虫害防治工作。,Defines,目标#123,User_Story,Goal,1.0
用户#123,Proposes,需求#123,User,Requirement,1.0
目标#123,Specifies,需求#123,Goal,Requirement,1.0
我需要无人机能够自主导航并根据预设的区域进行地质灾害监测和预警工作。,Defines,目标#124,User_Story,Goal,1.0
用户#124,Proposes,需求#124,User,Requirement,1.0
目标#124,Specifies,需求#124,Goal,Requirement,1.0
我希望无人机能够自主导航并根据预设的航线进行海洋气象观测和天气预报工作。,Defines,目标#125,User_Story,Goal,1.0
用户#125,Proposes,需求#125,User,Requirement,1.0
目标#125,Specifies,需求#125,Goal,Requirement,1.0
我需要无人机能够自主导航并根据预设的巡检路线进行航空器的检修和维护工作。,Defines,目标#126,User_Story,Goal,1.0
用户#126,Proposes,需求#126,User,Requirement,1.0
目标#126,Specifies,需求#126,Goal,Requirement,1.0
我希望无人机能够自主导航并根据预设的区域进行野生动物保护和监测工作。,Defines,目标#127,User_Story,Goal,1.0
用户#127,Proposes,需求#127,User,Requirement,1.0
目标#127,Specifies,需求#127,Goal,Requirement,1.0
我需要无人机能够自主导航并根据预设的区域进行城市发展和用地规划的空中勘测和测量工作。,Defines,目标#128,User_Story,Goal,1.0
用户#128,Proposes,需求#128,User,Requirement,1.0
目标#128,Specifies,需求#128,Goal,Requirement,1.0
我希望无人机能够自主导航并根据事故场景进行救援和灾害评估工作。,Defines,目标#129,User_Story,Goal,1.0
用户#129,Proposes,需求#129,User,Requirement,1.0
目标#129,Specifies,需求#129,Goal,Requirement,1.0
我需要无人机能够自主导航并根据预设的线路进行电力设备的巡检和维护工作。,Defines,目标#130,User_Story,Goal,1.0
用户#130,Proposes,需求#130,User,Requirement,1.0
目标#130,Specifies,需求#130,Goal,Requirement,1.0
我希望无人机能够自主导航并根据预设的路径进行矿区勘测和资源调查工作。,Defines,目标#131,User_Story,Goal,1.0
用户#131,Proposes,需求#131,User,Requirement,1.0
目标#131,Specifies,需求#131,Goal,Requirement,1.0
我需要无人机能够自主导航并根据预设的航线进行港口安全监测和船舶巡逻工作。,Defines,目标#132,User_Story,Goal,1.0
